target,final_filename,source_collection,source_filename,source_url,license_or_reuse_note,qc,notes
binoculars,binoculars.png,BOSS — Bank of Standardized Stimuli,binoculars01b.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
stethoscope,stethoscope.png,Wikimedia Commons,Stethoscope.png,https://commons.wikimedia.org/wiki/File:Stethoscope.png,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
compass,compass.png,Wikimedia Commons,64-point compass.jpg,https://commons.wikimedia.org/wiki/File:64-point_compass.jpg,CC BY-SA 4.0,PASS,Open/publicly reusable source photograph; visually QC-checked
hammock,hammock.png,Wikimedia Commons,Hammock 040522.jpg,https://commons.wikimedia.org/wiki/File:Hammock_040522.jpg,CC BY 2.0,PASS,Open/publicly reusable source photograph; visually QC-checked
whisk,whisk.png,BOSS — Bank of Standardized Stimuli,whisk.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
accordion,accordion.png,BOSS — Bank of Standardized Stimuli,accordion01.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
abacus,abacus.png,Wikimedia Commons,Schoty abacus.jpg,https://commons.wikimedia.org/wiki/File:Schoty_abacus.jpg,Public domain,PASS,Open/publicly reusable source photograph; visually QC-checked
sundial,sundial.png,Wikimedia Commons,Garden sundial MN 2007.JPG,https://commons.wikimedia.org/wiki/File:Garden_sundial_MN_2007.JPG,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
sextant,sextant.png,Wikimedia Commons,Sextant.jpg,https://commons.wikimedia.org/wiki/File:Sextant.jpg,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
hourglass,hourglass.png,BOSS — Bank of Standardized Stimuli,hourglass.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
pulley,pulley.png,Wikimedia Commons,Pulley.jpg,https://commons.wikimedia.org/wiki/File:Pulley.jpg,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
thimble,thimble.png,BOSS — Bank of Standardized Stimuli,thimble.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
calipers,calipers.png,Wikimedia Commons,Vernier caliper.jpg,https://commons.wikimedia.org/wiki/File:Vernier_caliper.jpg,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
metronome,metronome.png,BOSS — Bank of Standardized Stimuli,metronome.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
periscope,periscope.png,Wikimedia Commons,Submarine Periscope in B-396 Museum Front 10-feb-2015.jpg,https://commons.wikimedia.org/wiki/File:Submarine_Periscope_in_B-396_Museum_Front_10-feb-2015.jpg,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
bellows,bellows.png,Wikimedia Commons,"Bellows, fire (AM 621365).jpg","https://commons.wikimedia.org/wiki/File:Bellows,_fire_(AM_621365).jpg",CC BY 4.0,PASS,Open/publicly reusable source photograph; visually QC-checked
astrolabe,astrolabe.png,Wikimedia Commons,MHS 35146 Astrolabe.jpg,https://commons.wikimedia.org/wiki/File:MHS_35146_Astrolabe.jpg,CC BY-SA 4.0,PASS,Open/publicly reusable source photograph; visually QC-checked
yoke,yoke.png,Wikimedia Commons,Ox yoke - Log House Museum.jpg,https://commons.wikimedia.org/wiki/File:Ox_yoke_-_Log_House_Museum.jpg,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
plumb_bob,plumb_bob.png,Wikimedia Commons,Plumb bob.jpg,https://commons.wikimedia.org/wiki/File:Plumb_bob.jpg,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
spigot,spigot.png,BOSS — Bank of Standardized Stimuli,faucet.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
trellis,trellis.png,Wikimedia Commons,Wooden garden trellis.jpg,https://commons.wikimedia.org/wiki/File:Wooden_garden_trellis.jpg,See Wikimedia Commons source page,PASS,Open/publicly reusable source photograph; visually QC-checked
weather_vane,weather_vane.png,BOSS — Bank of Standardized Stimuli,weathervane.jpg,https://sites.google.com/site/bosstimuli/,CC BY-SA 3.0 reported by secondary stimulus catalogues; retain attribution and seek an archived author-site statement or rightsholder confirmation for primary clearance,PASS,Real standardized object photograph; visually QC-checked
